guild_id,guild_name,role_id,role_name,type,activity_names,comments
1104894380080365710,Bots boots & boobs,1125053038474825908,Named,named-activity,akane;mountain,
1104894380080365710,Bots boots & boobs,1104894661350408274,purple,else,,anything else
609603874474426372,Church of Quake,1087888852280164372,Currently Quaking,named-activity,diabotical;quake,QUACK
140856338564513792,Not so Elite MF,955512982912249927,Currently Quaking,named-activity,diabotical;quake,
1013632559458046003,QC Tournaments,1077327783459553340,Currently Quaking,named-activity,diabotical;quake,
199524231963344896,The Gang,953740617584898138,Currently Quaking,named-activity,quake,
199524231963344896,The Gang,953740335551492186,Fighting,named-activity,alone;akane,
199524231963344896,The Gang,953991784818679878,Playing,else,,anything else
496471206653067274,FighterHubIL,770345730531262475,Currently Fighting,named-activity,blazblue;skullgirls;arcana;guilty gear;for honor;vs.;dnf duel;toribash;calibur;brawlhalla;uniel;street fighter;devil daggers;tekken;under night;granblue;killer instinct;kombat;melty;versus;combat;samurai;rivals of aether;fight,
496471206653067274,FighterHubIL,869046494882304040,Filthy Casuals,else,,Anything else
